State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Sex_ratio,literacy_rate
Uttar Pradesh,Ballia,25.86075638,84.03651979,193,3239774,1672902,1566872,1963590,4672,93.66191205,60.60885728
Uttar Pradesh,Balrampur,27.44907654,82.47158326,182,2148665,1114721,1033944,868357,1551,92.75361279,40.41379182
Uttar Pradesh,Banda,25.3518859,80.52487391,170,1799410,965876,833534,1002937,1655,86.29824118,55.73699157
Uttar Pradesh,Bara Banki,26.92277703,81.35762351,176,3260699,1707073,1553626,1692458,3159,91.01110497,51.9047603
Uttar Pradesh,Bareilly,28.51101941,79.43187072,150,4448359,2357665,2090694,2191759,15164,88.67646591,49.27118068
Uttar Pradesh,Basti,26.83388045,82.69790591,185,2464464,1255272,1209192,1393783,3423,96.32908246,56.5552185
Uttar Pradesh,Bijnor,29.31397426,78.45098815,134,3682713,1921215,1761498,2135393,7303,91.68666703,57.98423608
Uttar Pradesh,Bulandshahr,28.34875862,78.01082759,142,3499171,1845260,1653911,2031656,7865,89.63024181,58.06106646
Uttar Pradesh,Chandauli,25.11808596,83.25307063,196,1952756,1017905,934851,1174606,3492,91.8406924,60.15119144
Uttar Pradesh,Chitrakoot,25.15992462,81.07666088,171,991730,527721,464009,531072,827,87.92695383,53.55005899
Uttar Pradesh,Deoria,26.42218857,83.82440707,190,3100946,1537436,1563510,1875239,4469,101.6959405,60.47312659
Uttar Pradesh,Etah,27.59115531,78.70021858,201,1774480,947339,827141,1055202,2635,87.3120393,59.46542086
Uttar Pradesh,Etawah,26.7881767,79.07621806,161,1581810,845856,735954,1062003,2964,87.00700829,67.13846796
Uttar Pradesh,Faizabad,26.60589185,82.00783531,177,2470996,1259628,1211368,1450901,4746,96.16871013,58.7172541
Uttar Pradesh,Farrukhabad,27.45063298,79.44062846,159,1885204,1006240,878964,1092677,2624,87.35132772,57.96067693
Uttar Pradesh,Fatehpur,25.8374362,80.85416203,172,2632733,1384722,1248011,1512166,3385,90.12718798,57.43711953
Uttar Pradesh,Firozabad,27.20963993,78.42660625,147,2498156,1332046,1166110,1521806,5834,87.54277255,60.91717251
Uttar Pradesh,Gautam Buddha Nagar,28.39331104,77.52462468,141,1648115,890214,757901,1122947,53181,85.1369446,68.13523328
Uttar Pradesh,Ghaziabad,28.74997309,77.67441879,140,4681645,2488834,2192811,3123264,78116,88.10595644,66.71296094
Uttar Pradesh,Ghazipur,25.62472478,83.53608546,195,3620268,1855075,1765193,2197549,5309,95.15480506,60.70127957
Uttar Pradesh,Gonda,27.15721555,82.0226888,183,3433919,1787146,1646773,1679994,4313,92.1454095,48.92351858
Uttar Pradesh,Gorakhpur,26.63315887,83.35495604,188,4440895,2277777,2163118,2700328,14597,94.96618853,60.80594114
Uttar Pradesh,Hardoi,27.33740909,80.26411768,155,4092845,2191442,1901403,2221601,3845,86.76492465,54.28011567
Uttar Pradesh,Jalaun,26.06795459,79.36686911,165,1689974,906092,783882,1075196,2217,86.51240713,63.62204389
Uttar Pradesh,Jaunpur,25.70141281,82.54315352,194,4494204,2220465,2273739,2731677,8002,102.3992272,60.78222083
Uttar Pradesh,Jhansi,25.45581535,78.89954581,166,1998603,1057436,941167,1304513,8517,89.00463007,65.27124196
